Wall time,Step,Value
1738699239.909282,2541,1.829181432723999
1738699240.1408443,2543,1.987202763557434
1738699240.4889169,2546,2.082824945449829
1738699246.145468,2570,2.1292061805725098
1738699246.9898417,2577,2.0826427936553955
1738699248.9519222,2593,2.125032663345337
1738699249.0714734,2594,1.9923731088638306
1738699249.4324555,2597,1.858660340309143
1738699250.6063292,2607,1.6886793375015259
1738699251.8952527,2618,2.068598985671997
1738699252.0131679,2619,2.083876609802246
1738699277.5066855,2627,2.1682398319244385
1738699278.4149642,2634,2.586784839630127
1738699278.9073596,2638,2.1194865703582764
1738699280.2576416,2649,2.0886895656585693
1738699282.3490741,2666,2.0881412029266357
1738699283.9874463,2680,2.3082828521728516
1738699284.217109,2682,2.30847430229187
1738699285.3685584,2692,2.150068521499634
1738699285.4829047,2693,2.3356986045837402
1738699288.6165516,2700,2.0544533729553223
1738699291.1371026,2717,2.362593412399292
1738699291.861849,2723,2.3164291381835938
1738699293.097758,2733,2.2824909687042236
1738699295.5211246,2753,2.058385133743286
1738699297.8607218,2773,1.8921211957931519
1738699302.32744,2787,2.231963634490967
1738699303.306246,2795,1.8800840377807617
1738699305.3830366,2812,2.069849967956543
1738699306.5817978,2822,1.7377822399139404
1738699307.3924484,2829,1.8010920286178589
1738699308.778296,2841,2.461122989654541
1738699309.591657,2848,2.1921939849853516
1738699313.08207,2854,2.2250349521636963
1738699313.208235,2855,1.983164668083191
1738699314.3076391,2864,2.418635368347168
1738699316.7680628,2884,2.2591891288757324
1738699317.4924617,2890,1.981643795967102
1738699317.6118114,2891,1.9515035152435303
1738699318.5616052,2899,2.194114923477173
1738699319.7089314,2909,2.312303304672241
1738699321.310733,2923,2.4654529094696045
1738699325.851982,2937,2.2602128982543945
1738699326.2142837,2940,2.1563196182250977
1738699326.3350835,2941,2.1356420516967773
1738699328.1600611,2956,2.102686882019043
1738699330.3547425,2974,1.9556617736816406
1738699331.6236851,2985,2.179640293121338
1738699332.8931775,2996,2.009265899658203
1738699333.1222155,2998,1.8594353199005127
1738699359.971488,3004,2.075451135635376
1738699360.2209504,3006,1.7999893426895142
1738699360.3425708,3007,2.0313374996185303
1738699361.1940966,3014,2.29410457611084
1738699361.3158402,3015,2.189073085784912
1738699363.1639922,3030,2.0200281143188477
1738699365.352701,3048,2.1174795627593994
1738699367.187148,3064,1.825047254562378
1738699367.4181232,3066,2.330387592315674
1738699371.3034222,3076,1.9706926345825195
1738699371.8388999,3080,2.1441311836242676
1738699371.9592345,3081,2.448483467102051
1738699372.7066402,3087,2.2848732471466064
1738699373.0721502,3090,2.1459107398986816
1738699374.0523927,3098,2.260833978652954
1738699376.1445587,3115,2.1662237644195557
1738699377.0986748,3123,2.006755828857422
1738699378.132726,3132,2.1601498126983643
1738699378.3608484,3134,2.0857410430908203
1738699378.5906157,3136,2.169170618057251
1738699379.7379405,3146,2.273341178894043
1738699384.167458,3160,1.8587056398391724
1738699386.1603205,3176,2.247622013092041
1738699387.5171573,3187,2.192058801651001
1738699387.76008,3189,2.127365827560425
1738699388.0164168,3191,2.037717580795288
1738699389.7591786,3206,1.846753478050232
